PC1,PC2,Probability,Free_Energy_kJ_mol,Sampled
-3.6136702000000005,0.5723592500000003,2.808583391196284e-09,32.438553378750335,False
-3.6136702000000005,0.6494251500000003,6.961782194276772e-12,47.404586091150335,False
-3.6136702000000005,0.7264910500000004,0.0,,False
-3.6136702000000005,0.8035569500000004,0.0,,False
-3.6136702000000005,0.8806228500000004,6.961782194276772e-12,47.404586091150335,False
-3.6136702000000005,0.9576887500000004,2.808583391196284e-09,32.438553378750335,False
-3.6136702000000005,1.0347546500000004,2.075278023607423e-08,27.449875807950338,False
-3.6136702000000005,1.1118205500000005,2.8155451733905604e-09,32.43237818129086,False
-3.6136702000000005,1.1888864500000005,2.8225069555848376e-09,32.42621823392928,False
-3.6136702000000005,1.2659523500000005,2.356832540946479e-08,27.13253744240358,False
-3.6136702000000005,1.3430182500000005,2.6369947018466797e-08,26.852370006723515,False
-3.6136702000000005,1.4200841500000005,2.356832540946479e-08,27.13253744240358,False
-3.6136702000000005,1.4971500500000006,2.8155451733905604e-09,32.43237818129086,False
-3.6136702000000005,1.5742159500000006,6.961782194276772e-12,47.404586091150335,False
-3.6136702000000005,1.6512818500000006,5.624128564586845e-09,30.70651997257919,False
-3.6136702000000005,1.7283477500000006,2.268935401259299e-06,15.740487260179187,True
-3.6136702000000005,1.8054136500000006,1.6765290964754684e-05,10.751809689379186,True
-3.6136702000000005,1.8824795500000007,2.268935401259299e-06,15.740487260179187,True
-3.6136702000000005,1.9595454500000007,8.439673737977405e-09,29.694123640520246,False
-3.6136702000000005,2.0366113500000007,1.1358719923252478e-06,17.46634546889086,False
-3.6136702000000005,2.1136772500000007,8.395830455886577e-06,12.47683334925893,True
-3.6136702000000005,2.1907431500000007,2.2689423630414932e-06,15.740479606802767,True
-3.6136702000000005,2.2678090500000008,8.377893220823892e-06,12.482168069090571,True
-3.6136702000000005,2.344874950000001,1.1745689694061999e-06,17.382783586533247,False
-3.6136702000000005,2.421940850000001,8.37789322082389e-06,12.482168069090571,True
-3.6136702000000005,2.499006750000001,6.188673432345665e-05,7.494215424770722,True
-3.6136702000000005,2.576072650000001,1.6765290964754684e-05,10.751809689379186,True
-3.6136702000000005,2.653138550000001,6.188672736167447e-05,7.49421570536469,True
-3.6136702000000005,2.730204450000001,8.372276054041499e-06,12.483841021436866,True
-3.6136702000000005,2.807270350000001,2.075278023607423e-08,27.449875807950338,False
-3.6136702000000005,2.884336250000001,0.0,,False
-3.6136702000000005,2.961402150000001,0.0,,False
-3.6136702000000005,3.038468050000001,0.0,,False
-3.6136702000000005,3.115533950000001,0.0,,False
-3.6136702000000005,3.192599850000001,0.0,,False
-3.6136702000000005,3.269665750000001,0.0,,False
-3.6136702000000005,3.346731650000001,0.0,,False
-3.6136702000000005,3.423797550000001,0.0,,False
-3.6136702000000005,3.5008634500000007,0.0,,False
-3.6136702000000005,3.5779293500000002,0.0,,False
-3.6136702000000005,3.6549952500000003,0.0,,False
-3.6136702000000005,3.7320611500000003,0.0,,False
-3.6136702000000005,3.80912705,0.0,,False
